study,arm,model,model_label,context,condition,tier,task,repetition,question_count,f1,score_available,original_f1,score_correction_status,ground_truth_version,calls,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,process_wall_time_seconds,peak_combined_memory_mib,run_id,result_updated_at,sources
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,100,scale-x100-k1,1,tier1/task1,1,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,29,0.03804979,107451,13550,121001,326.03135222475976,0.006797796115279198,358.7010082034394,367.796875,matched-gpt-5-mini-tier1-task1-scale-x100-k1-r01,2026-09-15T16:22:55.809464+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,100,scale-x100-k1,1,tier1/task1,2,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,28,0.033965880000000004,104468,13175,117643,282.90278465114534,0.00554431788623333,287.32936307787895,362.140625,matched-gpt-5-mini-tier1-task1-scale-x100-k1-r02,2026-09-15T16:27:43.178995+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,100,scale-x100-k1,1,tier1/task1,3,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,21,0.026023499999999998,65502,10808,76310,216.1000442430377,0.005431802943348885,219.61135314870626,362.4453125,matched-gpt-5-mini-tier1-task1-scale-x100-k1-r03,2026-09-15T16:31:22.844097+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,100,scale-x100-k1,1,tier1/task1,4,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,24,0.02734116,74788,11348,86136,178.97957671619952,0.005509865470230579,182.77481342479587,362.36328125,matched-gpt-5-mini-tier1-task1-scale-x100-k1-r04,2026-09-15T16:34:25.673513+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,100,scale-x100-k1,1,tier1/task1,5,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,23,0.027157470000000003,73883,10792,84675,262.7758790086955,0.0054800985381007195,267.6516794618219,363.33203125,matched-gpt-5-mini-tier1-task1-scale-x100-k1-r05,2026-09-15T16:38:53.379062+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,500,scale-x500-k1,1,tier1/task1,1,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,21,0.029281720000000004,67956,11891,79847,213.8537700138986,0.01039164513349533,217.52549164462835,364.05078125,matched-gpt-5-mini-tier1-task1-scale-x500-k1-r01,2026-09-15T16:42:30.943444+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,500,scale-x500-k1,1,tier1/task1,2,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,27,0.0311209,95066,12266,107332,268.55328450817615,0.010511624626815319,272.50840948242694,363.3046875,matched-gpt-5-mini-tier1-task1-scale-x500-k1-r02,2026-09-15T16:47:03.489280+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,500,scale-x500-k1,1,tier1/task1,3,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,24,0.03211358,77070,13280,90350,250.67372820153832,0.010876555927097797,254.6648985547945,362.2734375,matched-gpt-5-mini-tier1-task1-scale-x500-k1-r03,2026-09-15T16:51:18.192833+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,500,scale-x500-k1,1,tier1/task1,4,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,24,0.030088680000000003,77788,12389,90177,342.7185064665973,0.009075363166630268,346.4068956160918,374.51953125,matched-gpt-5-mini-tier1-task1-scale-x500-k1-r04,2026-09-15T16:57:04.662349+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
matched_cardinality,matched,openai/gpt-5-mini,GPT-5 mini,500,scale-x500-k1,1,tier1/task1,5,10,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,22,0.02865455,74775,11598,86373,257.4057301925495,0.009721328504383564,261.05370569229126,367.80078125,matched-gpt-5-mini-tier1-task1-scale-x500-k1-r05,2026-09-15T17:01:25.771426+00:00,jed-matched-v7-f95a2ee9;kuma-gpt-matched-v7;kuma-matched-v7-f95a2ee9
